Period	Decade	AxisYear	Year	Month	SST_22_24	SST_24_26	SST_26_28	SST_28_30	SST_30_32	SST_32_34	SST_34_36	SST_36_38	SST_38_40	SST_40_42	SST_42_44	SST_44_46	SST_46_48	SST_Bight
200	60	1962.5833	1962	8	27.39	24.42	20.58	18.78	18.46	17.32	14.87	15.38	14.6	14.3	13.74	15.7	15.29	18.63
201	60	1962.667	1962	9	26.67	25.02	21.59	19.29	18.92	16.71	15.49	15.45	15.3	14.36	13.93	15.76	15.05	18.06
202	60	1962.75	1962	10	26.88	25.05	21.99	19.22	18.29	16.73	15.69	15.38	15.84	13.56	13.77	13.78	13.28	17.31
203	60	1962.8333	1962	11	26.4	24.31	21.51	18.38	17.46	16.59	13.95	14.77	14.84	13.71	12.68	12.89	12.59	16.51
204	60	1962.917	1962	12	24.09	22.49	20.36	17.36	15.98	15.37	14.09	14.27	14.12	13.55	11.69	11.69	10.91	15.21
205	60	1963	1963	1	22.11	20.61	18.75	17	15.83	14.08	13.55	13.3	12.72	11.69	10.59	10.35	9.68	14.38
206	60	1963.0833	1963	2	21	19.28	17.75	16.37	15.52	14.77	13.94	13.59	12.93	12.11	11.19	10.77	10.03	14.71
207	60	1963.167	1963	3	20	18.23	16.72	16.09	15.47	13.65	13.61	12.73	12.19	11.49	10.81	10.04	9.37	14.65
208	60	1963.25	1963	4	19.83	18.01	16.62	16.06	15.77	14.38	13.65	12.98	12.44	11.52	10.71	10.35	10.11	14.76
209	60	1963.3333	1963	5	19.99	17.92	16.78	16.79	16.39	14.83	14.01	13.57	13.33	12.15	12.39	13.1	13.02	16.63
210	60	1963.417	1963	6	20.54	18.49	17.4	17.26	17	15.76	14.04	13.51	12.8	13.14	13.09	13.99	13.6	17.38
211	60	1963.5	1963	7	26.16	22.25	19.17	18.32	17.92	16.75	15.07	15.06	14.67	15.11	15.57	16.12	15.55	18.5
212	60	1963.5833	1963	8	28.52	25.06	21.77	21.28	19.82	17.43	16.23	15.71	15.49	14.88	15.11	14.9	15.09	19.57
213	60	1963.667	1963	9	29.5	27.44	23.76	22.03	20.82	18.46	17.45	16.98	16.92	15.6	16.36	17.28	16.63	20.7
214	60	1963.75	1963	10	28.63	26.91	23.67	21.73	20.94	18.76	17.56	17.54	17.43	16.52	16.01	16.47	15.21	20.86
215	60	1963.8333	1963	11	26.32	24.41	22.01	19.92	19.18	17.95	16.31	15.18	15.38	14.08	13.41	12.36	11.7	18.94
216	60	1963.917	1963	12	24.44	22.74	20.42	18.92	17.9	16.98	14.22	14.14	13.53	13.01	12.1	11.53	10.81	17.22
217	60	1964	1964	1	22.37	20.79	18.87	17.51	16.58	14.38	13.64	12.94	12.43	11.42	11.29	11.11	9.58	16.05
218	60	1964.0833	1964	2	20.86	19.21	17.11	16.26	15.95	14.51	13.63	12.53	11.48	10.72	10.36	9.73	8.84	15.69
219	60	1964.167	1964	3	19.19	17.72	16.36	15.78	15.15	13.98	12.68	11.9	10.9	10.48	10.02	9.47	8.58	15.06
220	60	1964.25	1964	4	18.86	17.21	16.39	15.94	15.57	13.94	11.93	11.33	9.95	9.57	9.76	9.63	8.81	14.75
221	60	1964.3333	1964	5	19.45	17.11	16.38	15.83	15.23	13.87	12.81	11.77	11.65	10.65	10.06	9.78	9.87	14.48
222	60	1964.417	1964	6	19.79	17.96	16.46	16.13	15.73	14.41	13.74	13.49	13.17	13.27	13.21	14	13.35	15.81
223	60	1964.5	1964	7	23.54	21.39	18.99	17.75	17.08	14.94	14.62	14.19	14.47	13.74	15.95	15.92	15.5	17.44
224	60	1964.5833	1964	8	24.34	22.36	20.38	19.68	18.75	16.89	15.69	15.26	14.39	15.3	15.31	16.37	15.76	19.04
225	60	1964.667	1964	9	26.17	23.78	20.86	19.33	18.76	16.67	15.4	15.06	14.68	14.3	13.98	14.35	14.1	18.96
226	60	1964.75	1964	10	26.81	24.49	21.41	19.54	18.55	16.72	15.73	15.17	15.43	14.56	13.8	14.32	13.71	18.62
227	60	1964.8333	1964	11	24.52	22.64	19.65	17.57	17.07	15.69	14.49	14.5	14.94	13.25	12.41	11.98	11.73	16.53
228	60	1964.917	1964	12	22.15	20.95	18.92	16.64	15.54	14.49	13.42	13.36	13.61	12.28	11.53	10.48	9.65	14.74
229	60	1965	1965	1	21.13	19.62	17.76	15.98	14.78	13.9	13.19	12.36	12.45	10.77	9.98	9.3	9.1	14.05
230	60	1965.0833	1965	2	20.39	18.68	16.95	15.52	14.78	14.13	12.2	11.65	11.76	9.97	10.15	9.25	8.04	14.26
231	60	1965.167	1965	3	19.7	18.23	16.89	15.97	15.33	13.81	12.79	11.99	11.35	10.49	9.78	9.69	8.65	15.33
232	60	1965.25	1965	4	19.78	18.12	16.83	16.3	15.93	14.27	13.19	13.03	11.96	11.18	10.63	10.11	9.22	15.47
233	60	1965.3333	1965	5	19.17	17.48	16.94	16.5	16.16	14.18	12.59	11.8	11.32	10.84	11.3	11.8	11.23	15.91
234	60	1965.417	1965	6	20.29	18.13	16.94	16.6	16.02	14.83	13.81	13.42	12.26	11.72	11.83	13.01	13.01	16.26
235	60	1965.5	1965	7	24.21	20.96	18.75	17.51	17.09	15.7	14.65	14.3	13.69	12.03	12.66	14.38	13.19	17.3
236	60	1965.5833	1965	8	27.2	25.13	22	20.02	19.23	17.32	16.71	16.38	15.63	15.26	15.76	16.52	15.93	19.21
237	60	1965.667	1965	9	27.42	25.42	23.48	20.68	19.2	18.07	17	16.09	14.93	14.02	12.96	13.34	13.71	19.26
238	60	1965.75	1965	10	27.56	25.92	23.4	20.42	19.26	18.17	16.98	16.03	15.3	14.36	13.73	14.22	14.21	19.08
239	60	1965.8333	1965	11	26.12	24.13	22.24	19.86	18.32	17.28	16.24	15.61	15.57	14.19	13.39	13.15	12.86	18.15
240	60	1965.917	1965	12	24.56	22.89	20.59	18.57	17.45	16.37	15.17	14.17	13.64	12.85	12.44	11.9	11.71	17.18
241	60	1966	1966	1	22.39	20.94	18.43	16.57	15.27	14.65	13.08	12.45	11.92	11.14	10.65	10.08	9.61	14.95
242	60	1966.0833	1966	2	20.97	19.27	17.51	15.94	14.9	13.85	13.1	12.27	10.96	10.73	10.02	9.86	9.39	14.43
243	60	1966.167	1966	3	20.71	18.8	16.84	15.43	15	14.33	12.64	11.86	11.02	10.78	10.46	9.2	8.83	14.53
244	60	1966.25	1966	4	20.01	18.35	16.64	15.93	15.39	14.42	13.28	12.41	11.33	10.89	10.78	10.38	9.41	14.93
245	60	1966.3333	1966	5	20.01	17.92	17.07	16.72	16.4	14.93	13.86	12.62	11.76	10.75	10.41	10.86	10.47	16.5
246	60	1966.417	1966	6	21.31	18.59	17.54	17.29	17.51	15.36	13.84	13.38	12.48	12.76	13.18	13.92	13.04	17.56
247	60	1966.5	1966	7	23.37	20.95	19.56	18.1	17.07	15.88	14.33	14.18	13.13	13.36	13.98	15.3	14.74	18.25
248	60	1966.5833	1966	8	26.24	24.09	21.86	20.53	19.73	17.16	15.61	14.16	13.91	12.21	12.86	15.19	14.52	20.47
249	60	1966.667	1966	9	27.39	24.77	22.2	20.6	19.61	17.67	16.34	15.67	14.76	14.32	15.05	15.51	15.59	19.49
250	60	1966.75	1966	10	26.12	24.68	22.41	20.63	19.13	17.45	16.23	15.02	14.19	12.63	12.99	13.92	12.91	19.04
251	60	1966.8333	1966	11	25.08	23.4	21.23	19.29	18.2	16.91	15.89	13.9	12.77	11.54	11.17	12.61	10.97	17.99
252	60	1966.917	1966	12	23.51	21	19.25	17.47	17.17	15.99	14.46	13.3	12.5	12.6	11.66	11.12	10.57	16.58
253	60	1967	1967	1	21.22	19.26	17.65	16.28	15.89	14.44	13.25	12.41	11.63	10.39	10.68	10.37	9.53	15.35
254	60	1967.0833	1967	2	20.1	18.49	17.37	16.56	15.72	13.98	13.19	12.32	11.53	10.62	10.46	9.64	9.16	14.93
255	60	1967.167	1967	3	20.16	18.27	16.87	16.34	15.82	14.41	13.03	12.37	12.02	10.34	9.77	9.38	8.95	15.87
256	60	1967.25	1967	4	19.17	17.07	15.84	15.56	15.01	14.06	12.78	12.2	11.3	10.61	10.18	9.87	9.95	14.85
257	60	1967.3333	1967	5	20.94	18.13	16.43	16.13	15.57	14.43	13.57	12.42	11.21	10.3	11.52	11.72	11.81	15.3
258	60	1967.417	1967	6	20.23	18.55	17.21	16.77	16.18	14.77	13.88	12.98	11.53	10.5	12.5	13.66	13.81	16.05
259	60	1967.5	1967	7	22.95	20.63	19.18	18.42	17.7	15.88	15	14.52	14.24	11.05	13.52	14.83	14.94	18.17
260	60	1967.5833	1967	8	25.87	23.35	21.59	20.92	19.99	18.07	16.57	14.91	15.42	11.16	13.02	14.9	14.84	20.12
261	60	1967.667	1967	9	26.93	24.88	23.26	22.27	21.07	19.18	18.4	16.8	14.77	13.12	14.96	15.38	15.46	20.24
262	60	1967.75	1967	10	26.32	24.29	22.05	20.98	20.1	18.28	17.34	16.26	15.25	13.15	13.9	14.47	14.23	19.77
263	60	1967.8333	1967	11	26.28	24.06	21.76	20.18	19.26	18.15	16.75	15.54	14.86	13.07	13.07	12.91	12	18.78
264	60	1967.917	1967	12	23.73	21.12	19.13	17.61	17.25	16.03	13.84	12.39	12.34	10.67	11.16	10.62	9.69	16.44
265	60	1968	1968	1	22.66	20.5	18.13	16.9	15.62	14.64	13.4	12.46	11.66	10.53	9.95	9.28	8.6	14.79
266	60	1968.0833	1968	2	22.18	20.17	18.03	16.68	16.22	14.95	13.86	12.85	12.39	10.9	10.1	9.56	8.57	15.63
267	60	1968.167	1968	3	21.13	18.88	17.65	16.69	16.09	14.94	13.69	13.1	12.62	11.87	11.51	9.98	9.33	15.64
268	60	1968.25	1968	4	19.67	18.05	16.97	16.7	16.26	14.74	12.81	11.74	11.05	9.33	10.51	10.07	9.54	15.41
269	60	1968.3333	1968	5	19.75	17.89	17.05	16.62	16.59	14.58	13.05	12.15	11.62	10.08	11.41	12.12	11.65	16.04
270	60	1968.417	1968	6	20.35	19.01	17.98	17.36	17.15	15.08	13.9	13.23	12.11	12.47	13.57	14.28	14.29	17.12
271	60	1968.5	1968	7	23.85	21.36	19.54	19.01	17.95	16.55	15.16	14.37	14.61	11.97	13.19	14.56	14.94	18.35
272	60	1968.5833	1968	8	25.55	22.36	20	19.34	19.5	17.62	16.31	15.29	15.38	14.2	15.14	15.78	14.68	19.54
273	60	1968.667	1968	9	26.88	24	21.09	20.02	19.51	17.68	17.08	16.5	15.75	14.24	13.21	15.42	15.3	19.55
274	60	1968.75	1968	10	26.23	23.36	20.66	19.77	19.15	16.9	15.58	14.61	14.19	12.65	13.22	13.72	12.75	18.09
275	60	1968.8333	1968	11	25.72	22.67	20.4	18.88	18.01	16.26	14.68	14.2	13.8	13.02	12.84	12.19	11.59	16.96
276	60	1968.917	1968	12	23.69	21.47	18.99	17.34	16.67	14.58	13.78	12.99	12.83	11.67	11.39	10.79	9.27	15.48
277	60	1969	1969	1	22.69	21.08	18.39	16.75	15.82	14.43	13.62	12.51	12.07	11	10.24	9.41	8.14	15.3
278	60	1969.0833	1969	2	20.94	18.86	17.08	15.93	15.31	14.37	12.96	12.05	11.42	10.31	9.38	8.83	8.07	14.82
279	60	1969.167	1969	3	19.91	17.75	15.9	15.47	14.85	13.84	12.78	11.88	11.14	10.31	9.81	9.15	8.55	14.47
280	60	1969.25	1969	4	20.28	17.67	16.43	15.81	15.56	14.1	12.75	12.34	11.51	10.91	10.43	9.86	9.6	15.7
281	60	1969.3333	1969	5	20.02	17.37	16.49	16.04	15.76	14.29	13.53	12.86	12.51	11.26	11.5	11.89	11.84	15.82
282	60	1969.417	1969	6	19.7	18.03	17.21	17.1	17.01	16.11	15.12	13.83	13.59	12.98	14.06	14.71	14.15	17.32
283	60	1969.5	1969	7	23.54	21.02	18.86	18.25	17.68	15.96	15.01	14.18	13.83	12.73	14.11	14.62	14.68	18.45
284	60	1969.5833	1969	8	26.31	23.96	21.39	20	19.41	17.42	15.2	14.56	14.25	13.73	14.07	14.67	15.25	20.14
285	60	1969.667	1969	9	27.13	25.56	22.27	20.18	18.83	17.48	16.38	15.79	15.16	14.76	13.44	15.48	15.26	19.17
286	60	1969.75	1969	10	26.63	24.63	21.83	19.56	18.75	17.21	15.88	15.51	14.94	14.76	13.82	13.58	13.59	18.25
287	60	1969.8333	1969	11	25	22.99	20.44	18.69	17.74	16.83	16	15.17	14.39	13.48	12.42	12.8	12.32	16.9
288	60	1969.917	1969	12	23.18	21.63	19.65	18.03	17.02	15.7	15.3	14.11	13.78	12.86	11.64	11.32	11.33	16.4
289	70	1970	1970	1	21.12	19.03	17.36	16.22	15.41	14.99	14	13.39	12.52	11.96	11.32	10.28	9.11	14.75
290	70	1970.0833	1970	2	20.9	19.18	17.23	15.9	15.79	15.16	14.26	13.37	12.84	12.01	11.18	10.93	10.25	15.23
291	70	1970.167	1970	3	20.46	19.03	16.92	16.33	15.59	14.88	14.37	13.32	12.49	11.33	11.44	10.79	10.17	15.26
292	70	1970.25	1970	4	19.85	18.03	16.55	16.2	15.75	14.49	13.1	11.7	10.91	10	10.72	10.48	10.23	15.94
293	70	1970.3333	1970	5	19.74	17.83	16.89	16.21	15.76	14.24	12.29	11.63	11.8	10.25	11.52	11.17	11.44	15.69
294	70	1970.417	1970	6	19.96	18.3	17.23	16.94	16.45	15.22	13.54	12.81	12.35	10.75	11.97	12.14	12.33	17.08
295	70	1970.5	1970	7	24.24	21.67	19.22	18.55	17.71	15.28	13.96	13.33	12.74	11	12.45	13.69	13.2	18.35
296	70	1970.5833	1970	8	26.36	23.44	20.86	20.19	19.61	16.13	14.67	13.75	13.11	11.29	12.16	13.16	13.8	20.65
297	70	1970.667	1970	9	26.57	23.67	21.2	19.92	19.02	16.49	15.3	13.76	12.84	11.24	12.76	12.8	13.02	19.02
298	70	1970.75	1970	10	26.22	23.85	21.16	19.77	19.1	17.22	15.91	14.09	13.45	10.88	11.18	12.04	11.93	18.49
299	70	1970.8333	1970	11	24.93	22.15	19.76	18.71	17.76	15.96	15.13	14.18	14.11	12.56	11.9	11.5	11.36	17.35
300	70	1970.917	1970	12	23.32	21.09	18.7	16.99	16.37	14.7	13.76	12.89	13.05	11.96	11.09	10.53	10.16	15.34
301	70	1971	1971	1	21.12	19.4	16.73	15.28	14.45	13.43	12.7	11.32	11.13	10.21	9.72	9.29	8.32	13.81
302	70	1971.0833	1971	2	20.39	18.47	16.21	15.34	14.19	13.6	12.52	11.31	10.63	9.36	9.62	9.07	8.54	13.69
303	70	1971.167	1971	3	19.5	17.24	15.34	14.32	13.78	13.01	11.98	10.99	10.54	9.1	9.11	8.69	7.61	13.24
304	70	1971.25	1971	4	18.91	16.84	15.37	15.23	14.74	12.92	11.89	11.11	11.15	9.63	10.11	9.85	9.46	14.56
305	70	1971.3333	1971	5	18.69	16.74	15.79	15.87	15.23	13.23	11.97	11.61	11.35	9.87	11.17	11.28	11.33	14.62
306	70	1971.417	1971	6	20.11	17.78	16.82	16.44	16.42	14.6	13.25	12.41	12.12	10.68	12.2	12.83	12.85	17.02
307	70	1971.5	1971	7	23.48	20.91	19.31	18.62	17.87	15.11	14.52	13.77	12.83	13.13	14.07	14.01	14.37	18.7
308	70	1971.5833	1971	8	26.06	24.32	22.98	21.98	20.94	17.44	16.41	15.91	15.71	15.38	16.04	16.43	15.94	20.86
309	70	1971.667	1971	9	27.59	26	23.6	22.06	20.19	18.65	17.1	16.43	15.83	15.11	15.32	14.8	14.56	20.47
310	70	1971.75	1971	10	26.46	24.36	21.99	20.23	18.82	17.1	15.24	14.13	12.99	13.07	12.85	13.14	12.39	18.19
311	70	1971.8333	1971	11	24.94	22.44	19.37	17.44	16.04	14.64	13.45	12.77	11.85	11.82	11.22	10.68	10.21	15.53
312	70	1971.917	1971	12	22.82	20.18	17.4	15.58	14.41	13.24	11.96	11.77	10.94	10.63	10.12	9.55	8.48	13.66
313	70	1972	1972	1	21.54	19	16.32	14.81	14.16	12.84	11.76	11.18	10.55	9.62	9.49	9.09	7.3	12.96
314	70	1972.0833	1972	2	21.07	18.85	16.37	14.72	14.12	12.9	12.36	11.45	10.4	9.82	9.14	8.46	8.24	13.27
315	70	1972.167	1972	3	20.44	18.26	16.23	15.07	14.69	13.21	12.67	12.09	10.98	10.25	9.82	9.43	9.27	14.42
316	70	1972.25	1972	4	20.58	17.91	16.25	15.44	15.27	13.64	12.69	12.15	11.28	10.68	10.3	10.01	9.73	15.57
317	70	1972.3333	1972	5	19.65	17.14	15.99	15.73	16.02	13.99	13.11	12.13	11.34	11.03	11.66	12.05	11.79	16.69
318	70	1972.417	1972	6	21.7	19.07	17.84	17.32	17.16	14.9	14.11	13.49	12.86	12.61	13.12	13.55	13.12	17.44
319	70	1972.5	1972	7	25.43	21.76	19.6	18.95	18.87	16.22	15.34	15.12	14.04	13.57	13.73	13.94	14.6	18.94
320	70	1972.5833	1972	8	28.07	25.68	22.62	21.45	20.59	17.55	16.12	15.57	14.41	14.25	13.98	14.49	14.17	19.38
321	70	1972.667	1972	9	28.24	26.09	23.22	21.93	20.82	18.01	16.93	16.08	15.32	14.23	13.82	13.96	13.3	20.24
322	70	1972.75	1972	10	27.75	25.32	23.17	21.08	20.08	18.45	18.13	16.04	14.98	13.77	13.04	12.21	11.59	19.34
323	70	1972.8333	1972	11	25.77	23.84	21.78	19.72	17.89	16.23	15.39	14.54	13.8	12.79	12.48	11.7	10.51	17.59
324	70	1972.917	1972	12	24.96	23.31	21.3	19.17	16.86	14.79	14.52	12.91	12.03	11.02	10.63	10.41	9.03	16.32
325	70	1973	1973	1	22.96	21.51	19.77	17.52	15.55	13.67	13.78	12.5	11.54	10.95	10.08	9.95	8.55	15.41
326	70	1973.0833	1973	2	22.11	20.32	18.52	16.73	15.66	14.26	13.46	12.55	11.81	10.83	10.61	9.79	9.23	15.09
327	70	1973.167	1973	3	21.1	18.94	17.01	16.14	15.26	14.15	12.94	12.52	11.32	10.47	10.38	9.85	9.43	14.75
328	70	1973.25	1973	4	19.87	17.6	15.84	15.46	14.76	13.25	12.26	11.97	11.02	10.55	10.78	10.77	10.03	14.1
329	70	1973.3333	1973	5	19.95	17.94	16.52	15.97	15.19	13.68	12.67	12.45	11.42	10.89	12.24	12.34	11.97	15.23
330	70	1973.417	1973	6	19.91	18	17.12	16.72	16.56	14.43	13.8	12.78	12.17	11.39	12.75	13.33	12.69	16.86
331	70	1973.5	1973	7	22.67	20.2	18.86	18.05	17.66	15.34	14.43	13.9	12.47	12.31	13.5	14.32	13.36	17.68
332	70	1973.5833	1973	8	25.05	22.4	20.14	18.96	18.53	16.49	14.86	14.52	12.62	12.45	13.24	13.61	13.17	18.53
333	70	1973.667	1973	9	23.58	20.75	19.27	18.47	17.87	16.23	15.38	15.07	14.2	13.5	12.91	13.2	13.62	17.86
334	70	1973.75	1973	10	23.58	20.78	19.01	18.22	17.92	16.32	14.77	14.61	14.87	12.8	13.08	13.27	12.6	17.34
335	70	1973.8333	1973	11	23.6	20.75	18.29	17.37	16.7	14.79	14.13	13.55	12.63	12.24	12.45	12.2	10.63	16.1
336	70	1973.917	1973	12	22.03	19.49	17.38	16.21	15.44	13.91	12.95	12.74	12.39	11.37	11.12	10.38	9.54	14.51
